"pp","task_label","Training","score_PreTest","score_PostTest","score_Retention","c_PreTest","c_PostTest","c_Retention","pitch_error_PreTest","pitch_error_PostTest","pitch_error_Retention","te12rescaled_PreTest","te12rescaled_PostTest","te12rescaled_Retention","te21rescaled_PreTest","te21rescaled_PostTest","te21rescaled_Retention"
"26","Periodic Fadeout (SCT)","Chaotic Interactive",0.239,0.325333333333333,0.2658,0.8062,0.822,0.7498,3.5166,2.68033333333333,2.8612,0.322034010537095,0.113024647583896,0.741060721166212,0.104459227372384,0.977124633362167,-0.304595019600186
"26","Periodic Fixed","Chaotic Interactive",0.2018,0.348666666666667,0.5586,0.5742,0.646,0.8218,3.1282,2.099,1.5046,-0.895034784608425,0.182697472267844,0.428069048371933,0.0234960683670962,-0.15029258204107,-0.264996547476837
"27","Chaotic","Periodic Fixed",0.13,0.136333333333333,0.121,0.3944,0.421666666666667,0.2778,3.041,3.18533333333333,2.317,-0.427062828364796,-0.518734100014957,0.116459331139685,-0.477479955182169,0.541971507630256,-0.0889783585563276
"27","Chaotic Visual","Periodic Fixed",1.1516,1.04766666666667,1.0218,0.5012,0.478,0.4408,0.4404,0.457,0.4324,3.4545534382513,2.60056018541053,2.14394281519603,0.197365583505058,0.568171931299714,0.413095912979625
"27","Periodic Fadeout (SCT)","Periodic Fixed",0.1536,0.141,0.1984,0.7506,0.857333333333333,0.8924,4.8984,6.38,4.5294,-0.695137588363434,-0.722081983741073,-0.0641372076255752,0.0890023108812747,0.0846481049700348,0.00681165428436559
"27","Periodic Fixed","Periodic Fixed",0.0608,0.264333333333333,0.183,0.2008,0.75,0.5542,3.4178,2.91533333333333,3.1684,-1.17262535631049,-0.0494428078756853,-0.639745206266063,0.283001007394643,0.606984839055353,-0.502682005301672
"28","Chaotic","Chaotic Interactive",0.322,0.408666666666667,0.363,0.4278,0.482333333333333,0.478,1.3406,1.18266666666667,1.333,1.80135593864987,4.13653946265787,3.802517065002,0.106829948829041,0.774321458625356,0.80738806018205
"28","Chaotic Visual","Chaotic Interactive",1.621,1.493,1.8388,0.6352,0.579666666666667,0.7364,0.3912,0.388666666666667,0.4006,3.40501799363062,4.50026477211785,5.37527602375437,0.3074313165177,0.82001559776819,2.22897596943838
"28","Periodic Fadeout (SCT)","Chaotic Interactive",0.4846,0.467,0.3802,0.9208,0.935333333333333,0.9104,1.923,2.00666666666667,2.406,-0.117455404165287,0.0575417385885294,0.042908393540901,-0.30761033592777,0.85349839159968,0.372113344289032
"28","Periodic Fixed","Chaotic Interactive",0.2608,0.273333333333333,0.4574,0.4424,0.475,0.7004,1.7012,1.733,1.5328,-1.23854391550196,-1.20749920150356,-0.721819786322774,-0.622011502143487,-1.36223903793815,-0.0376941293044012
"30","Chaotic","Chaotic Interactive",0.2746,0.501333333333333,0.3924,0.4008,0.52,0.4526,1.4968,1.037,1.1684,1.22620073650391,2.92787911075791,2.94538580740883,0.186463250879436,1.40159531017809,0.672026874187175
"30","Chaotic Visual","Chaotic Interactive",1.5482,1.42533333333333,1.5332,0.543,0.493333333333333,0.5156,0.3528,0.346666666666667,0.337,4.12164056515363,4.47617707917279,5.15031679658144,1.67560519036933,2.68526933769122,1.20142093639087
"30","Periodic Fadeout (SCT)","Chaotic Interactive",0.1006,0.246333333333333,0.153,0.385,0.74,0.4976,3.818,3.15766666666667,3.264,-1.77567535420004,0.183817647809551,-1.03034282354999,-0.403183013795103,-0.885449091567669,-0.158494807692795
"30","Periodic Fixed","Chaotic Interactive",0.0976,0.305333333333333,0.0834,0.1624,0.541333333333333,0.2348,1.8054,1.81133333333333,2.8334,-0.536619415526293,-0.946676181364688,-0.985170247988447,0.849018647365619,0.394304741172864,-0.12063240225599
