"pp","Task Label","Training","c Delta% PostTest","c Delta% Retention","Pitch Error Delta% PostTest","Pitch Error Delta% Retention","Score Delta% PostTest","Score Delta% Retention","TE S-U Delta% PostTest","TE S-U Delta% Retention","TE U-S Delta% PostTest","TE U-S Delta% Retention"
"27","Chaotic Visual","Periodic Fixed",-4.6288906624102,-12.0510774142059,3.76930063578565,-1.81653042688465,-9.02512446451313,-11.2712747481764,-24.7208001875076,-37.9386408831675,187.877917319436,109.304938400791
"27","Periodic Fadeout (SCT)","Periodic Fixed",14.2197353228528,18.8915534239275,30.2466111383309,-7.53307202351788,-8.20312499999998,29.1666666666667,3.87612406934792,-90.7734513714653,-4.89223916561932,-92.3466545790569
"27","Periodic Fixed","Periodic Fixed",273.505976095618,175.996015936255,-14.7014648799423,-7.29709169641289,334.758771929825,200.986842105263,-95.7835801852988,-45.4433419145107,114.481511795086,-277.625517990007
"28","Chaotic","Chaotic Interactive",12.7473897459872,11.7344553529687,-11.7807946690537,-0.566910338654338,26.9151138716356,12.7329192546584,129.634764229786,111.091932661128,624.816839390696,655.769397094913
"28","Chaotic Visual","Chaotic Interactive",-8.74265323257766,15.9319899244333,-0.647580095432856,2.40286298568508,-7.89636027143739,13.4361505243677,32.1656678624307,57.8633661792473,166.731316463324,625.032177816554
"28","Periodic Fadeout (SCT)","Chaotic Interactive",1.57833767738198,-1.12945264986969,4.35084070029468,25.1170046801872,-3.63186132893108,-21.5435410647957,-148.990286140904,-136.531646922366,-377.460895137181,-220.969064048748
"28","Periodic Fixed","Chaotic Interactive",7.36889692585895,58.3182640144665,1.86926875146954,-9.89889489771926,4.80572597137012,75.383435582822,-2.5065493124492,-41.7202912800849,119.005441739228,-93.9399626575224
"30","Chaotic","Chaotic Interactive",29.7405189620759,12.9241516966068,-30.7188669160877,-21.9401389631213,82.5685846079146,42.8987618353969,138.776492591723,140.204211245753,651.673749957483,260.40714243564
"30","Chaotic Visual","Chaotic Interactive",-9.14671577655004,-5.04604051565377,-1.73847316704459,-4.47845804988662,-7.93609783404384,-0.968867071437807,8.60182998528768,24.957931560669,60.25668535315,-28.2992829518473
"30","Periodic Fadeout (SCT)","Chaotic Interactive",92.2077922077922,29.2467532467532,-17.2952680286363,-14.510214772132,144.864148442677,52.0874751491054,-110.351985084141,-41.9745945612808,119.614681489943,-60.6891157936177
"30","Periodic Fixed","Chaotic Interactive",233.333333333333,44.5812807881774,0.328643698534041,56.94029024039,212.841530054645,-14.5491803278688,76.4148210023728,83.5882600375605,-53.5575876458857,-114.208451443357
