"pp","task_label","training_phase_label","score","c","pitch_error","te12rescaled","te21rescaled","Training"
"15","Periodic Fixed","PreTest",0.3828,0.6558,1.7636,-0.4084893305101,-0.383669151545558,"Periodic Fixed"
"15","Periodic Fixed","PostTest",0.464666666666667,0.657666666666667,1.582,-0.674120104499512,0.20456768171392,"Periodic Fixed"
"15","Periodic Fixed","Retention",0.5132,0.7236,1.449,-0.285053909821892,-0.875177642710216,"Periodic Fixed"
"17","Chaotic","PreTest",0.2892,0.4368,1.538,0.611413147149778,-0.146972601958961,"Chaotic Interactive"
"17","Chaotic","PostTest",0.412666666666667,0.479666666666667,1.16466666666667,2.02419016560724,0.721303506276607,"Chaotic Interactive"
"17","Chaotic","Retention",0.3412,0.408,1.197,1.44579436147461,0.546592884437425,"Chaotic Interactive"
"17","Chaotic Visual","PreTest",1.543,0.604,0.3898,3.68238141596627,0.26847783706725,"Chaotic Interactive"
"17","Chaotic Visual","PostTest",1.32933333333333,0.478333333333333,0.369333333333333,4.06113637370669,1.25261226455504,"Chaotic Interactive"
"17","Chaotic Visual","Retention",1.4548,0.517,0.3574,2.6122693734745,0.470587634816294,"Chaotic Interactive"
"17","Periodic Fadeout (SCT)","PreTest",0.1706,0.6038,3.5866,-1.60896125216777,-0.40969489361856,"Chaotic Interactive"
"17","Periodic Fadeout (SCT)","PostTest",0.207666666666667,0.609,2.98366666666667,0.787484081824857,0.154460404421296,"Chaotic Interactive"
"17","Periodic Fadeout (SCT)","Retention",0.1656,0.5198,3.155,-1.23973097167727,-0.362977202620827,"Chaotic Interactive"
"17","Periodic Fixed","PreTest",0.3876,0.7264,1.8884,0.299614736688108,-0.00529077286947718,"Chaotic Interactive"
"17","Periodic Fixed","PostTest",0.379666666666667,0.680666666666667,1.90966666666667,-0.35006193612306,0.0700876119710521,"Chaotic Interactive"
"17","Periodic Fixed","Retention",0.5048,0.722,1.4332,0.0979946504108116,0.253688264683195,"Chaotic Interactive"
"18","Chaotic","PreTest",0.2788,0.4444,1.6442,4.9273989293793,0.87617273565557,"Periodic Fixed"
"18","Chaotic","PostTest",0.333666666666667,0.414,1.239,4.91085228087355,0.421646975700061,"Periodic Fixed"
"18","Chaotic","Retention",0.1992,0.348,1.7518,3.13086386942595,0.465279964110935,"Periodic Fixed"
"18","Chaotic Visual","PreTest",1.3606,0.5488,0.4046,4.17980386965698,0.387786597352607,"Periodic Fixed"
"18","Chaotic Visual","PostTest",1.316,0.501666666666667,0.381333333333333,5.01867286687726,0.126090661116302,"Periodic Fixed"
"18","Chaotic Visual","Retention",1.608,0.6182,0.3848,3.4719419411813,-0.108299994734287,"Periodic Fixed"
"18","Periodic Fadeout (SCT)","PreTest",0.2516,0.7908,3.1938,-0.313031103798426,0.398915595669575,"Periodic Fixed"
"18","Periodic Fadeout (SCT)","PostTest",0.429,0.887333333333333,2.06866666666667,-0.268193477535049,0.351531507458762,"Periodic Fixed"
"18","Periodic Fadeout (SCT)","Retention",0.4286,0.8796,2.058,0.134842799062678,0.0527721209621148,"Periodic Fixed"
"18","Periodic Fixed","PreTest",0.4066,0.8176,2.0126,0.79929627580042,0.290197173913299,"Periodic Fixed"
