"file_name","pp","day","date","task_code","training_phase","training_phase_label","visual","score","c","tau","pitch_error","te12rescaled","te21rescaled","training_condition","Training","task_label","trial","pre_score","pre_c","pre_tau","pre_pitch_error","pre_testimtouser","pre_teusertostim","score_delta","c_delta","tau_delta","pitch_error_delta","testimtouser_delta","teusertostim_delta"
"trial_log-200123-115859_task011_aud1_vis0_eps000_pp6_d2_test_SCT","6",2,"200123-115859","11",2,"Retention",0,0.383,0.809,-0.125,2.112,-0.477963961380879,-0.193464295858408,"25","Chaotic Interactive","Periodic Fixed",4,0.4058,0.8674,0.0608,2.19,-0.00472957445117072,0.207648816565385,-0.0561853129620502,-6.7327645838137,-305.592105263158,-3.56164383561643,10005.8555334205,-193.168985529705
"trial_log-200123-120004_task011_aud1_vis0_eps000_pp6_d2_test_SCT","6",2,"200123-120004","11",2,"Retention",0,0.391,0.85,-0.21,2.17,-0.368383410271222,-0.792783980207495,"25","Chaotic Interactive","Periodic Fixed",5,0.4058,0.8674,0.0608,2.19,-0.00472957445117072,0.207648816565385,-0.0364711680630852,-2.00599492736916,-445.394736842105,-0.913242009132421,7688.93353037365,-481.790752926281
"trial_log-200122-120922_task011_aud1_vis0_eps000_pp7_d1_test_SCT","7",1,"200122-120922","11",-1,"PreTest",0,0.251,0.646,-0.275,2.577,-0.791764310830259,1.22782830871212,"30","Chaotic Non-interactive","Periodic Fixed",1,0.326,0.854,-0.0126,2.6574,0.425666034115548,0.642054472306432,-0.230061349693252,-24.3559718969555,2082.53968253968,-3.02551365996839,-286.005987646017,91.2342895613561
"trial_log-200122-121030_task011_aud1_vis0_eps000_pp7_d1_test_SCT","7",1,"200122-121030","11",-1,"PreTest",0,0.408,0.903,-0.035,2.217,1.21985346944811,1.56407463526898,"30","Chaotic Non-interactive","Periodic Fixed",2,0.326,0.854,-0.0126,2.6574,0.425666034115548,0.642054472306432,0.251533742331288,5.73770491803279,177.777777777778,-16.5725897493791,186.57524248622,143.60466326952
"trial_log-200122-121138_task011_aud1_vis0_eps000_pp7_d1_test_SCT","7",1,"200122-121138","11",-1,"PreTest",0,0.28,0.907,-0.135,3.237,-0.16452042924955,0.151359663151279,"30","Chaotic Non-interactive","Periodic Fixed",3,0.326,0.854,-0.0126,2.6574,0.425666034115548,0.642054472306432,-0.141104294478528,6.20608899297424,971.428571428571,21.8107925039512,-138.650119122469,-76.4257287068565
"trial_log-200122-121245_task011_aud1_vis0_eps000_pp7_d1_test_SCT","7",1,"200122-121245","11",-1,"PreTest",0,0.347,0.934,0.111,2.695,1.53849471298886,-0.777928387493967,"30","Chaotic Non-interactive","Periodic Fixed",4,0.326,0.854,-0.0126,2.6574,0.425666034115548,0.642054472306432,0.0644171779141103,9.36768149882905,-980.952380952381,1.41491683600511,261.432341245069,-221.162365663374
"trial_log-200122-121353_task011_aud1_vis0_eps000_pp7_d1_test_SCT","7",1,"200122-121353","11",-1,"PreTest",0,0.344,0.88,0.271,2.561,0.32626672822058,1.04493814189375,"30","Chaotic Non-interactive","Periodic Fixed",5,0.326,0.854,-0.0126,2.6574,0.425666034115548,0.642054472306432,0.0552147239263802,3.04449648711944,-2250.79365079365,-3.62760593060887,-23.3514769628027,62.7491415393543
"trial_log-200122-133942_task011_aud1_vis0_eps000_pp7_d1_test_SCT","7",1,"200122-133942","11",1,"PostTest",0,0.248,0.714,0.116,2.874,-1.04042834980361,0.654298609130473,"30","Chaotic Non-interactive","Periodic Fixed",1,0.326,0.854,-0.0126,2.6574,0.425666034115548,0.642054472306432,-0.239263803680982,-16.3934426229508,-1020.63492063492,8.15082411379544,-344.42362472388,1.90702461429111
"trial_log-200122-134048_task011_aud1_vis0_eps000_pp7_d1_test_SCT","7",1,"200122-134048","11",1,"PostTest",0,0.241,0.783,-0.161,3.254,-0.972272349007165,-0.266781879982219,"30","Chaotic Non-interactive","Periodic Fixed",2,0.326,0.854,-0.0126,2.6574,0.425666034115548,0.642054472306432,-0.260736196319018,-8.31381733021077,1177.77777777778,22.4505155415067,-328.41201107985,-141.551284429788
"trial_log-200122-134204_task011_aud1_vis0_eps000_pp7_d1_test_SCT","7",1,"200122-134204","11",1,"PostTest",0,0.284,0.823,-0.083,2.901,-1.35665216950874,-0.00350530131917733,"30","Chaotic Non-interactive","Periodic Fixed",3,0.326,0.854,-0.0126,2.6574,0.425666034115548,0.642054472306432,-0.128834355828221,-3.62997658079626,558.730158730159,9.16685482050124,-418.712807877096,-100.545950767477
"trial_log-200123-151732_task011_aud1_vis0_eps000_pp7_d2_test_SCT","7",2,"200123-151732","11",2,"Retention",0,0.295,0.891,0.026,3.017,-0.115432143546012,-0.724442469094426,"30","Chaotic Non-interactive","Periodic Fixed",1,0.326,0.854,-0.0126,2.6574,0.425666034115548,0.642054472306432,-0.0950920245398774,4.33255269320844,-306.349206349206,13.5320237826447,-127.118006675317,-212.831932544918
"trial_log-200123-151840_task011_aud1_vis0_eps000_pp7_d2_test_SCT","7",2,"200123-151840","11",2,"Retention",0,0.223,0.783,-0.108,3.505,-0.998587893573846,0.600876226713041,"30","Chaotic Non-interactive","Periodic Fixed",2,0.326,0.854,-0.0126,2.6574,0.425666034115548,0.642054472306432,-0.315950920245399,-8.31381733021077,757.142857142857,31.8958380371792,-334.594215544757,-6.4135127733739
"trial_log-200123-151946_task011_aud1_vis0_eps000_pp7_d2_test_SCT","7",2,"200123-151946","11",2,"Retention",0,0.162,0.559,-0.385,3.449,-0.338912690154126,0.651383028543743,"30","Chaotic Non-interactive","Periodic Fixed",3,0.326,0.854,-0.0126,2.6574,0.425666034115548,0.642054472306432,-0.503067484662577,-34.5433255269321,2955.55555555555,29.7885150899375,-179.619387733936,1.45292286553193
