pp,trial,condition,period,LyapsTutor,LyaplTutor,LyapsTrainee,LyaplTrainee
10.0000,22.0000,25.0000,1036.5880,1.4188,0.2469,0.8583,0.1920
10.0000,23.0000,25.0000,1041.9630,1.4930,0.2847,0.6764,0.2175
10.0000,24.0000,25.0000,1009.9303,1.7915,0.3209,0.7922,0.1907
10.0000,25.0000,25.0000,1043.1048,1.5337,0.4063,0.9676,0.1541
10.0000,26.0000,25.0000,1005.2031,1.6771,0.4085,0.9940,0.1215
10.0000,27.0000,25.0000,986.2314,1.8088,0.3883,1.0733,0.1470
10.0000,28.0000,25.0000,978.4785,1.7596,0.3702,1.0084,0.1252
10.0000,29.0000,25.0000,1020.1008,1.7783,0.5008,0.9055,0.1444
10.0000,30.0000,25.0000,983.0863,1.5300,0.4643,0.8212,0.2119
10.0000,31.0000,25.0000,952.7752,1.4198,0.4036,1.1410,0.1668
10.0000,32.0000,25.0000,1036.0678,1.4454,0.3167,0.8308,0.2037
10.0000,33.0000,25.0000,949.7653,2.0426,0.4782,1.1738,0.1313
10.0000,34.0000,25.0000,953.5145,2.0966,0.3761,1.1749,0.1174
10.0000,35.0000,25.0000,995.4933,1.9887,0.2206,0.9060,0.0544
10.0000,36.0000,25.0000,949.2426,1.9936,0.3846,1.1821,0.1015
10.0000,37.0000,25.0000,1013.7244,1.6395,0.2295,0.9039,0.1083
10.0000,38.0000,25.0000,947.6684,1.9827,0.5106,1.0592,0.1651
10.0000,39.0000,25.0000,1026.8096,1.3443,0.2182,0.6915,0.1602
10.0000,40.0000,25.0000,1019.0647,1.6296,0.3758,0.9203,0.1634
11.0000,1.0000,10.0000,1035.9272,0.5920,0.0846,0.5097,0.0407
11.0000,2.0000,10.0000,1044.5109,0.5092,0.1239,0.5783,0.1371
11.0000,3.0000,10.0000,1048.1849,0.5178,0.0674,0.5450,0.0274
11.0000,4.0000,10.0000,1046.7225,0.4803,0.0267,0.5187,0.1133
11.0000,5.0000,10.0000,1040.1082,0.5344,0.1014,0.4455,0.0738
11.0000,6.0000,10.0000,1052.1961,0.5499,0.0547,0.5515,0.0668
11.0000,7.0000,10.0000,1049.8419,0.5632,0.0607,0.4638,0.0889
11.0000,8.0000,10.0000,1044.3245,0.5245,0.1072,0.4142,0.0713
11.0000,9.0000,10.0000,1048.2891,0.5100,0.1268,0.5273,0.0971
11.0000,10.0000,10.0000,1050.0494,0.5387,0.0742,0.5041,0.0571
11.0000,11.0000,10.0000,1044.5148,0.5457,0.0875,0.6150,0.1308
11.0000,12.0000,10.0000,1058.4962,0.5589,0.0891,0.5644,0.1665
11.0000,13.0000,10.0000,1049.2288,0.5717,0.1129,0.5966,0.1562
11.0000,14.0000,10.0000,1051.4406,0.5845,0.1491,0.4879,0.1327
11.0000,15.0000,10.0000,1051.1528,0.5054,0.0444,0.5074,0.1033
11.0000,16.0000,10.0000,1050.2361,0.5057,0.1169,0.5827,0.0798
11.0000,17.0000,10.0000,1047.5293,0.5484,0.1158,0.5464,0.1324
11.0000,18.0000,10.0000,1039.2089,0.5853,0.1262,0.5310,0.0899
11.0000,19.0000,10.0000,1054.6873,0.5993,0.1510,0.5324,0.1053
11.0000,20.0000,10.0000,1056.1629,0.5922,0.1086,0.4666,0.1388
11.0000,21.0000,10.0000,1047.3024,0.5669,0.0697,0.6025,0.1042
11.0000,22.0000,10.0000,1051.1365,0.5257,0.0124,0.4942,0.0629
