"pp","Task Label","Training","c Delta% PostTest","c Delta% Retention","Pitch Error Delta% PostTest","Pitch Error Delta% Retention","Score Delta% PostTest","Score Delta% Retention","MLS Stimulus Delta% PostTest","MLS Stimulus Delta% Retention","MLL Stimulus Delta% PostTest","MLL Stimulus Delta% Retention","MLS User Delta% PostTest","MLS User Delta% Retention","MLL User Delta% PostTest","MLL User Delta% Retention","MLS Stimulus Training","MLL Stimulus Training","MLS User Training","MLL User Training"
"14","Chaotic","Chaotic Interactive",13.5847038374114,0.641797031688736,-18.5643564356436,-8.2920792079208,40.4072883172562,10.1607717041801,0.40226328523609,-0.603394927854123,1.09719770945136,-1.64579656417704,2.83510508286358,-12.1754648296162,-7.11302595907727,-23.4978252821574,1.75978270854383,0.282832599766626,0.468821769095627,0.0634155002651704
"14","Chaotic Visual","Chaotic Interactive",11.8058109599117,6.32585509378448,-7.08478513356561,-2.04081632653061,20.4388560157791,8.74260355029585,-0.702760827002377,2.10828248100712,-0.850913982790951,2.55274194837284,20.0082130375411,17.8160592540423,-9.9535568019072,25.6893419169737,1.75978270854383,0.282832599766626,0.468821769095627,0.0634155002651704
"14","Periodic Fadeout (SCT)","Chaotic Interactive",38.8706500328299,41.7596848325673,-46.2193643953676,-62.5908968489092,167.127799736495,287.549407114625,-12.1343508788735,-14.1297298946878,8.11745581275558,28.2802733414577,-12.0370861122042,-9.85750679535944,-4.73938540289065,-27.9675318756499,1.75978270854383,0.282832599766626,0.468821769095627,0.0634155002651704
"14","Periodic Fixed","Chaotic Interactive",21.7948717948718,-1.57790927021697,-28.6411249820634,5.77701248385708,66.6666666666667,-10.0883652430044,1.49468485634547,5.10057473716758,-40.2211143950875,30.9357130477549,18.25589161425,11.6340075798904,9.50016086153382,16.4670244029503,1.75978270854383,0.282832599766626,0.468821769095627,0.0634155002651704
"15","Chaotic","Periodic Fixed",0.668950889215201,8.61478218306411,-8.82183456440883,-4.43187175860443,9.94007026245093,13.7011779293242,-0.39511104521739,-3.02761173981255,-1.0455736631778,-8.23706783298104,3.56582901309329,-4.36188107111138,15.9405849015711,-20.9921805132938,0.199627985047715,0.0335467638958674,0.451415514193013,0.113510541833917
"15","Chaotic Visual","Periodic Fixed",5.16297882464905,7.85153461812991,-1.38674884437597,-2.51669234720083,6.03337020648969,10.329092920354,-1.39571312887767,-0.723337843838841,-1.68746905543394,-0.494260219817005,12.4889030166188,-3.5044924243403,4.9845150532155,-33.9832881864011,0.199627985047715,0.0335467638958674,0.451415514193013,0.113510541833917
"15","Periodic Fadeout (SCT)","Periodic Fixed",28.9804265264388,34.7648261758691,-35.1135512852508,-38.3266783129523,89.5280235988201,106.814159292035,-11.0097189862052,-10.2980569766732,5.72780630839136,-18.6246628302649,-4.82472310788345,-11.358637099915,14.1963302965025,17.6183294637981,0.199627985047715,0.0335467638958674,0.451415514193013,0.113510541833917
"15","Periodic Fixed","Periodic Fixed",0.284639625902208,10.3385178408051,-10.2971195282377,-17.8385121342708,21.3862765586904,34.0647857889237,4.61888169846474,-5.62866053763487,7.27937655430201,-17.4186213565075,-7.06715380367416,4.58372783774399,28.1967433409233,11.5381955592923,0.199627985047715,0.0335467638958674,0.451415514193013,0.113510541833917
"17","Chaotic","Chaotic Interactive",9.81379731379731,-6.59340659340659,-24.2739488513221,-22.1716514954486,42.6924850161364,17.9806362378976,-0.199925303477366,-1.86437769070198,-0.539716223660366,-5.26551123970987,-24.7510129057505,-32.0162063257592,-16.977890302087,-34.4561232290515,1.76857898480481,0.285719595896997,0.389332834808823,0.0501972944779873
"17","Chaotic Visual","Chaotic Interactive",-20.8057395143488,-14.4039735099338,-5.25055584060201,-8.31195484864032,-13.8474832577231,-5.71613739468567,-0.92402703592439,-2.10436551979681,-1.11556694677951,-2.16347528725375,33.1146884640534,15.238887831249,-50.5380593691355,-53.7393276386503,1.76857898480481,0.285719595896997,0.389332834808823,0.0501972944779873
"17","Periodic Fadeout (SCT)","Chaotic Interactive",0.861212321960911,-13.9118913547532,-16.8107213888734,-12.0336809234372,21.727237202032,-2.93083235638922,17.3641309890517,1.66428176360712,-16.4102491830368,44.1067488776875,-47.8357551639318,-41.0420839552437,-22.8238154992907,-21.0154541697156,1.76857898480481,0.285719595896997,0.389332834808823,0.0501972944779873
"17","Periodic Fixed","Chaotic Interactive",-6.29588839941262,-0.605726872246691,1.12617383322743,-24.1050624867613,-2.04678362573098,30.2373581011352,4.39994202684692,-5.26877159290971,0.484080158775442,-36.8643602035308,-8.62515349287878,-23.7109981427093,-17.9332687055381,-30.5389888672699,1.76857898480481,0.285719595896997,0.389332834808823,0.0501972944779873
"18","Chaotic","Periodic Fixed",-6.84068406840684,-21.6921692169217,-24.6442038681426,6.54421603211288,19.6795791487327,-28.5509325681492,3.7333083907607,1.28862664801186,10.6856092064503,3.8490338803171,7.67647644102995,2.03479179363742,8.20483081538423,-4.20035247739491,0.206365662950404,0.0395997311838806,0.328294935898652,0.0525763977740143
"18","Chaotic Visual","Periodic Fixed",-8.58843537414965,12.6457725947522,-5.75053550832097,-4.89372219476025,-3.27796560341026,18.1831544906659,-2.07906083082987,-0.693020276943282,-2.5100256302539,-0.836675210084623,-15.8798421280325,-12.8934662790895,-18.9065718634932,-35.1280718730839,0.206365662950404,0.0395997311838806,0.328294935898652,0.0525763977740143
"18","Periodic Fadeout (SCT)","Periodic Fixed",12.2070477153937,11.2291350531108,-35.2286722190912,-35.562652639489,70.5087440381558,70.3497615262321,11.1040129814228,7.55280244229477,14.700027493,-3.09428972700173,31.8383579748083,-17.452649136108,-3.81841489281679,20.0124511136919,0.206365662950404,0.0395997311838806,0.328294935898652,0.0525763977740143
"18","Periodic Fixed","Periodic Fixed",2.49510763209393,-30.7485322896282,17.7084368478585,7.09529961244161,-11.952779144122,-35.120511559272,-4.15683869053821,16.7392008950162,-8.53861969050758,-14.0994783307589,37.2733396345202,39.1961666570894,27.4233218242402,30.0194590672092,0.206365662950404,0.0395997311838806,0.328294935898652,0.0525763977740143
"19","Chaotic","Chaotic Non-interactive",3.09193121693122,0.446428571428564,-12.7204096716292,-27.9458346531517,20.6683168316832,42.0792079207921,-2.30759493726052,0,-6.61698717154162,0,-18.6307856122483,-6.07455039532124,-26.2024230967252,-41.579575595146,1.50873986349819,0.736050862829523,0.736608267896655,0.0884955825486617
"19","Chaotic Visual","Chaotic Non-interactive",8.64157473502055,1.52498377676834,-5.23758099352053,-4.6976241900648,14.1137550320858,6.13416238192036,0,0.707734507882957,0,0.858216668425223,4.43229947412306,18.0335666122051,-29.2278772036542,-8.49943330950669,1.50873986349819,0.736050862829523,0.736608267896655,0.0884955825486617
